timestamp,open,high,low,close,volume,datetime
1518285600000,840.13,845.29,826.35,827.52,6291.26065,2018-02-10 18:00:00
1518289200000,828.54,842.0,820.01,840.67,8031.97653,2018-02-10 19:00:00
1518292800000,840.72,840.73,812.0,817.99,7611.74671,2018-02-10 20:00:00
1518296400000,817.99,826.98,810.02,821.02,6435.50444,2018-02-10 21:00:00
1518300000000,821.02,854.88,819.79,852.91,9164.0607,2018-02-10 22:00:00
1518303600000,852.13,854.99,844.75,851.15,4650.64352,2018-02-10 23:00:00
1518307200000,851.15,851.93,823.78,837.52,7317.7727,2018-02-11 00:00:00
1518310800000,837.54,838.78,815.0,821.95,8690.00281,2018-02-11 01:00:00
1518314400000,821.95,826.0,816.38,822.0,5682.93853,2018-02-11 02:00:00
1518318000000,821.72,822.53,794.01,796.58,12274.29537,2018-02-11 03:00:00
1518321600000,796.97,808.0,789.13,791.6,5041.53148,2018-02-11 04:00:00
1518325200000,791.6,816.0,790.02,808.0,10807.78256,2018-02-11 05:00:00
1518328800000,808.79,809.72,792.01,801.99,8348.75154,2018-02-11 06:00:00
1518332400000,802.0,802.81,778.52,783.7,9157.10608,2018-02-11 07:00:00
1518336000000,783.69,790.69,768.28,788.23,10858.33404,2018-02-11 08:00:00
1518339600000,788.0,817.0,780.01,816.31,10502.12788,2018-02-11 09:00:00
1518343200000,816.35,819.0,790.0,803.0,9869.30663,2018-02-11 10:00:00
1518346800000,803.0,823.0,796.0,819.44,8223.14622,2018-02-11 11:00:00
1518350400000,818.5,839.5,814.1,833.27,12126.91576,2018-02-11 12:00:00
1518354000000,833.95,841.0,824.5,830.03,8628.47634,2018-02-11 13:00:00
1518357600000,830.07,851.05,825.45,850.01,8247.48932,2018-02-11 14:00:00
1518361200000,850.01,851.88,838.43,850.7,6810.44967,2018-02-11 15:00:00
1518364800000,851.03,857.0,827.5,837.91,12192.30398,2018-02-11 16:00:00
1518368400000,837.02,843.26,821.6,826.19,6211.14028,2018-02-11 17:00:00
1518372000000,826.16,838.16,822.0,836.6,5192.41292,2018-02-11 18:00:00
1518375600000,836.6,843.72,825.49,831.44,4290.54354,2018-02-11 19:00:00
1518379200000,831.35,834.98,825.21,830.0,3600.07566,2018-02-11 20:00:00
1518382800000,830.0,841.64,828.7,835.4,3696.03225,2018-02-11 21:00:00
1518386400000,835.41,837.52,828.68,830.31,3088.51244,2018-02-11 22:00:00
1518390000000,831.18,833.94,805.0,808.99,8465.96,2018-02-11 23:00:00
1518393600000,808.58,828.34,807.46,821.71,5348.43705,2018-02-12 00:00:00
1518397200000,822.47,842.45,817.93,829.97,7843.10201,2018-02-12 01:00:00
1518400800000,829.92,848.47,825.0,848.45,7507.58737,2018-02-12 02:00:00
1518404400000,848.45,851.75,837.8,845.35,9454.7194,2018-02-12 03:00:00
1518408000000,845.35,851.96,839.62,845.85,6826.11119,2018-02-12 04:00:00
1518411600000,844.53,845.5,830.0,834.21,4562.59857,2018-02-12 05:00:00
1518415200000,834.95,845.0,834.22,842.12,2642.43465,2018-02-12 06:00:00
1518418800000,842.11,850.99,835.54,846.0,4403.71633,2018-02-12 07:00:00
1518422400000,846.0,870.99,845.93,866.09,13131.63644,2018-02-12 08:00:00
1518426000000,866.1,874.0,858.0,867.57,8591.58874,2018-02-12 09:00:00
1518429600000,867.5,871.99,859.41,871.2,4730.47479,2018-02-12 10:00:00
1518433200000,871.48,871.98,853.99,855.92,6375.55896,2018-02-12 11:00:00
1518436800000,855.92,870.5,855.21,867.94,5003.85643,2018-02-12 12:00:00
1518440400000,867.99,868.7,854.52,856.78,4360.25248,2018-02-12 13:00:00
1518444000000,856.78,859.41,840.26,842.67,10382.10145,2018-02-12 14:00:00
1518447600000,842.59,858.59,842.04,857.0,5003.45269,2018-02-12 15:00:00
1518451200000,857.0,865.0,853.16,857.03,5724.35504,2018-02-12 16:00:00
1518454800000,857.23,866.7,853.5,865.69,3634.03085,2018-02-12 17:00:00
1518458400000,865.49,865.71,856.0,859.4,3401.41182,2018-02-12 18:00:00
1518462000000,859.91,868.81,857.95,867.74,3868.64108,2018-02-12 19:00:00
1518465600000,867.74,877.56,865.01,871.64,5196.41653,2018-02-12 20:00:00
1518469200000,871.25,873.95,862.1,865.68,4013.1657,2018-02-12 21:00:00
1518472800000,865.69,868.5,856.31,868.5,3593.67982,2018-02-12 22:00:00
1518476400000,868.5,877.32,859.03,866.66,7987.60182,2018-02-12 23:00:00
1518480000000,866.39,871.0,858.16,865.44,5247.67895,2018-02-13 00:00:00
1518483600000,865.44,865.71,848.0,850.7,5904.97267,2018-02-13 01:00:00
1518487200000,850.7,852.99,843.01,850.0,6441.35735,2018-02-13 02:00:00
1518490800000,850.0,856.91,847.0,855.93,4718.40359,2018-02-13 03:00:00
1518494400000,856.0,862.66,840.05,842.3,5624.77078,2018-02-13 04:00:00
1518498000000,842.27,848.0,836.82,841.4,5764.90525,2018-02-13 05:00:00
1518501600000,841.23,849.4,837.79,848.02,3775.62963,2018-02-13 06:00:00
1518505200000,848.02,851.99,841.31,842.55,3359.043,2018-02-13 07:00:00
1518508800000,842.55,843.74,828.88,835.57,7546.89396,2018-02-13 08:00:00
1518512400000,835.4,840.04,820.0,826.28,7581.98122,2018-02-13 09:00:00
1518516000000,826.27,837.99,821.12,832.52,5495.88999,2018-02-13 10:00:00
