TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: BTC
Timeframe: 1h
Period: 5Y
Generated: 2026-01-27T17:27:11.743742Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 408
Win Rate: 35.8%
Total Net Profit: +59.2 R
Wins: 146 | Losses: 262

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
TR-10066 | 2025-04-30  | SHORT | $93705.04  | -1.0R      | 2025-04-30 
TR-10067 | 2025-04-21  | LONG  | $86625.68  | +2.2R      | 2025-04-21 
TR-10068 | 2025-04-20  | SHORT | $84129.83  | -1.0R      | 2025-04-20 
TR-10069 | 2025-04-15  | SHORT | $83643.99  | -1.0R      | 2025-04-16 
TR-10070 | 2025-04-09  | LONG  | $82332.08  | -1.0R      | 2025-04-10 
TR-10071 | 2025-03-27  | SHORT | $86383.83  | -1.0R      | 2025-03-27 
TR-10072 | 2025-03-23  | LONG  | $84679.99  | +2.2R      | 2025-03-23 
TR-10073 | 2025-03-19  | LONG  | $83881.40  | +2.2R      | 2025-03-19 
TR-10074 | 2025-03-16  | SHORT | $83373.16  | -1.0R      | 2025-03-16 
TR-10075 | 2025-03-13  | SHORT | $80876.36  | -1.0R      | 2025-03-14 
TR-10076 | 2025-02-21  | SHORT | $95395.03  | -1.0R      | 2025-02-22 
TR-10077 | 2025-02-16  | SHORT | $96969.58  | -1.0R      | 2025-02-16 
TR-10078 | 2025-02-11  | SHORT | $95469.28  | -1.0R      | 2025-02-11 
TR-10079 | 2025-02-10  | LONG  | $97683.99  | -1.0R      | 2025-02-11 
TR-10080 | 2025-02-07  | LONG  | $99710.92  | -1.0R      | 2025-02-07 
TR-10081 | 2025-02-04  | SHORT | $96514.47  | -1.0R      | 2025-02-04 
TR-10082 | 2025-01-31  | SHORT | $101680.02 | -1.0R      | 2025-02-01 
TR-10083 | 2025-01-28  | SHORT | $102205.79 | +2.2R      | 2025-01-28 
TR-10084 | 2025-01-26  | SHORT | $102620.00 | -1.0R      | 2025-01-27 
TR-10085 | 2025-01-21  | LONG  | $106861.18 | -1.0R      | 2025-01-22 
TR-10086 | 2025-01-20  | SHORT | $100692.82 | -1.0R      | 2025-01-20 
TR-10087 | 2025-01-20  | LONG  | $107120.65 | -1.0R      | 2025-01-20 
TR-10088 | 2025-01-11  | LONG  | $94593.80  | -1.0R      | 2025-01-12 
TR-10089 | 2025-01-07  | SHORT | $96750.86  | +2.2R      | 2025-01-08 
TR-10090 | 2025-01-01  | LONG  | $94432.94  | -1.0R      | 2025-01-01 
TR-10091 | 2024-12-31  | LONG  | $95679.17  | -1.0R      | 2024-12-31 
TR-10092 | 2024-12-24  | LONG  | $98496.23  | -1.0R      | 2024-12-24 
TR-10093 | 2024-12-11  | LONG  | $99515.98  | +2.2R      | 2024-12-11 
TR-10094 | 2024-12-04  | SHORT | $94847.81  | -1.0R      | 2024-12-04 
TR-10095 | 2024-12-04  | LONG  | $97209.64  | +2.2R      | 2024-12-04 
TR-10096 | 2024-12-02  | SHORT | $95053.66  | -1.0R      | 2024-12-02 
TR-10097 | 2024-11-27  | LONG  | $96119.51  | -1.0R      | 2024-11-28 
TR-10098 | 2024-11-25  | LONG  | $98492.96  | -1.0R      | 2024-11-25 
TR-10099 | 2024-11-25  | SHORT | $95385.49  | -1.0R      | 2024-11-25 
TR-10100 | 2024-11-24  | SHORT | $96899.99  | -1.0R      | 2024-11-24 
TR-10101 | 2024-11-18  | LONG  | $92061.84  | -1.0R      | 2024-11-18 
TR-10102 | 2024-11-05  | LONG  | $69964.00  | -1.0R      | 2024-11-05 
TR-10103 | 2024-10-31  | SHORT | $70633.67  | +2.2R      | 2024-11-01 
TR-10104 | 2024-10-27  | LONG  | $67695.99  | +2.2R      | 2024-10-27 
TR-10105 | 2024-10-24  | LONG  | $67905.99  | -1.0R      | 2024-10-24 
TR-10106 | 2024-10-21  | SHORT | $67268.00  | -1.0R      | 2024-10-21 
TR-10107 | 2024-10-11  | LONG  | $62272.00  | +2.2R      | 2024-10-11 
TR-10108 | 2024-10-04  | LONG  | $62244.00  | -1.0R      | 2024-10-05 
TR-10109 | 2024-09-30  | SHORT | $64376.01  | +2.2R      | 2024-09-30 
TR-10110 | 2024-09-26  | LONG  | $64391.99  | +2.2R      | 2024-09-26 
TR-10111 | 2024-09-22  | SHORT | $62668.00  | -1.0R      | 2024-09-22 
TR-10112 | 2024-09-17  | LONG  | $61135.50  | -1.0R      | 2024-09-17 
TR-10113 | 2024-09-16  | SHORT | $58607.07  | -1.0R      | 2024-09-16 
TR-10114 | 2024-09-09  | LONG  | $54849.65  | +2.2R      | 2024-09-09 
TR-10115 | 2024-09-03  | SHORT | $57708.00  | -1.0R      | 2024-09-03 
TR-10116 | 2024-08-21  | LONG  | $59885.58  | +2.2R      | 2024-08-21 
TR-10117 | 2024-08-20  | LONG  | $60482.78  | -1.0R      | 2024-08-20 
TR-10118 | 2024-08-19  | SHORT | $58564.00  | -1.0R      | 2024-08-19 
TR-10119 | 2024-08-13  | LONG  | $61167.58  | -1.0R      | 2024-08-13 
TR-10120 | 2024-08-11  | SHORT | $58504.92  | -1.0R      | 2024-08-11 
TR-10121 | 2024-07-26  | LONG  | $67042.01  | +2.2R      | 2024-07-27 
TR-10122 | 2024-07-19  | LONG  | $65747.04  | +2.2R      | 2024-07-19 
TR-10123 | 2024-07-12  | LONG  | $58296.90  | -1.0R      | 2024-07-12 
TR-10124 | 2024-06-30  | LONG  | $61529.70  | +2.2R      | 2024-06-30 
TR-10125 | 2024-06-20  | LONG  | $66209.49  | -1.0R      | 2024-06-20 
TR-10126 | 2024-06-20  | SHORT | $64888.00  | +2.2R      | 2024-06-21 
TR-10127 | 2024-06-13  | SHORT | $67474.94  | -1.0R      | 2024-06-13 
TR-10128 | 2024-06-12  | LONG  | $69734.00  | -1.0R      | 2024-06-12 
TR-10129 | 2024-06-07  | SHORT | $69154.43  | -1.0R      | 2024-06-10 
TR-10130 | 2024-06-02  | LONG  | $68252.50  | -1.0R      | 2024-06-02 
TR-10131 | 2024-05-31  | SHORT | $67501.76  | +2.2R      | 2024-05-31 
TR-10132 | 2024-05-30  | LONG  | $69315.10  | -1.0R      | 2024-05-30 
TR-10133 | 2024-05-28  | SHORT | $67797.29  | -1.0R      | 2024-05-28 
TR-10134 | 2024-05-27  | LONG  | $69111.35  | -1.0R      | 2024-05-27 
TR-10135 | 2024-05-27  | SHORT | $68524.61  | -1.0R      | 2024-05-27 
TR-10136 | 2024-05-27  | LONG  | $70373.85  | -1.0R      | 2024-05-27 
TR-10137 | 2024-05-23  | SHORT | $68036.14  | +2.2R      | 2024-05-23 
TR-10138 | 2024-05-20  | LONG  | $67132.43  | -1.0R      | 2024-05-20 
TR-10139 | 2024-05-15  | LONG  | $62649.98  | -1.0R      | 2024-05-15 
TR-10140 | 2024-05-14  | SHORT | $61427.54  | -1.0R      | 2024-05-15 
TR-10141 | 2024-05-13  | LONG  | $61512.89  | -1.0R      | 2024-05-13 
TR-10142 | 2024-05-13  | SHORT | $61044.26  | -1.0R      | 2024-05-13 
TR-10143 | 2024-05-10  | SHORT | $61071.54  | -1.0R      | 2024-05-12 
TR-10144 | 2024-04-30  | LONG  | $63606.01  | -1.0R      | 2024-04-30 
TR-10145 | 2024-04-30  | SHORT | $61919.32  | +2.2R      | 2024-04-30 
TR-10146 | 2024-04-19  | SHORT | $61359.58  | -1.0R      | 2024-04-19 
TR-10147 | 2024-04-19  | LONG  | $64624.37  | -1.0R      | 2024-04-19 
TR-10148 | 2024-04-12  | SHORT | $68840.54  | +2.2R      | 2024-04-12 
TR-10149 | 2024-04-09  | SHORT | $68823.99  | -1.0R      | 2024-04-10 
TR-10150 | 2024-04-04  | LONG  | $67807.64  | +2.2R      | 2024-04-04 
TR-10151 | 2024-03-31  | LONG  | $70215.00  | +2.2R      | 2024-03-31 
TR-10152 | 2024-03-30  | LONG  | $70178.16  | -1.0R      | 2024-03-30 
TR-10153 | 2024-03-30  | SHORT | $69896.34  | -1.0R      | 2024-03-31 
TR-10154 | 2024-03-29  | SHORT | $69176.47  | -1.0R      | 2024-03-29 
TR-10155 | 2024-03-23  | SHORT | $63990.01  | -1.0R      | 2024-03-24 
TR-10156 | 2024-03-22  | SHORT | $64233.90  | +2.2R      | 2024-03-22 
TR-10157 | 2024-03-14  | SHORT | $70098.50  | -1.0R      | 2024-03-14 
TR-10158 | 2024-02-26  | LONG  | $52842.32  | +2.2R      | 2024-02-26 
TR-10159 | 2024-02-20  | LONG  | $52286.80  | +2.2R      | 2024-02-20 
TR-10160 | 2024-02-20  | SHORT | $51324.99  | -1.0R      | 2024-02-20 
TR-10161 | 2024-02-18  | SHORT | $51554.06  | -1.0R      | 2024-02-18 
TR-10162 | 2024-02-18  | LONG  | $51882.00  | +2.2R      | 2024-02-19 
TR-10163 | 2024-02-17  | SHORT | $50841.09  | -1.0R      | 2024-02-17 
TR-10164 | 2024-02-06  | LONG  | $43244.89  | -1.0R      | 2024-02-07 
TR-10165 | 2024-02-04  | SHORT | $42746.13  | -1.0R      | 2024-02-04 
TR-10166 | 2024-01-10  | SHORT | $45118.01  | -1.0R      | 2024-01-10 
TR-10167 | 2024-01-10  | LONG  | $46527.33  | -1.0R      | 2024-01-10 
TR-10168 | 2024-01-08  | SHORT | $43518.20  | -1.0R      | 2024-01-08 
TR-10169 | 2024-01-08  | LONG  | $44635.99  | +2.2R      | 2024-01-08 
TR-10170 | 2024-01-05  | SHORT | $43225.99  | -1.0R      | 2024-01-05 
TR-10171 | 2024-01-04  | LONG  | $44318.00  | -1.0R      | 2024-01-05 
TR-10172 | 2024-01-03  | SHORT | $43000.01  | -1.0R      | 2024-01-04 
TR-10173 | 2023-12-31  | LONG  | $42659.42  | -1.0R      | 2023-12-31 
TR-10174 | 2023-12-28  | SHORT | $42445.99  | -1.0R      | 2023-12-29 
TR-10175 | 2023-12-27  | LONG  | $43445.32  | -1.0R      | 2023-12-28 
TR-10176 | 2023-12-15  | SHORT | $41855.06  | -1.0R      | 2023-12-15 
TR-10177 | 2023-12-13  | LONG  | $42874.87  | -1.0R      | 2023-12-14 
TR-10178 | 2023-12-11  | SHORT | $43630.42  | +2.2R      | 2023-12-11 
TR-10179 | 2023-12-01  | LONG  | $37946.02  | +2.2R      | 2023-12-01 
TR-10180 | 2023-11-28  | LONG  | $38210.75  | -1.0R      | 2023-11-28 
TR-10181 | 2023-11-26  | SHORT | $37226.52  | -1.0R      | 2023-11-26 
TR-10182 | 2023-11-22  | LONG  | $37607.08  | -1.0R      | 2023-11-23 
TR-10183 | 2023-11-18  | LONG  | $36620.00  | -1.0R      | 2023-11-18 
TR-10184 | 2023-11-16  | SHORT | $35955.01  | -1.0R      | 2023-11-17 
TR-10185 | 2023-11-15  | LONG  | $37499.99  | -1.0R      | 2023-11-16 
TR-10186 | 2023-11-07  | SHORT | $34785.44  | -1.0R      | 2023-11-07 
TR-10187 | 2023-11-07  | LONG  | $35453.98  | -1.0R      | 2023-11-08 
TR-10188 | 2023-10-31  | SHORT | $34272.19  | -1.0R      | 2023-10-31 
TR-10189 | 2023-10-27  | SHORT | $33600.15  | -1.0R      | 2023-10-27 
TR-10190 | 2023-10-15  | LONG  | $26930.29  | +2.2R      | 2023-10-15 
TR-10191 | 2023-10-14  | SHORT | $26820.01  | -1.0R      | 2023-10-15 
TR-10192 | 2023-10-09  | SHORT | $27542.97  | +2.2R      | 2023-10-09 
TR-10193 | 2023-10-06  | LONG  | $27760.00  | -1.0R      | 2023-10-06 
TR-10194 | 2023-10-06  | SHORT | $27252.99  | -1.0R      | 2023-10-06 
TR-10195 | 2023-10-06  | LONG  | $27941.12  | -1.0R      | 2023-10-08 
TR-10196 | 2023-10-04  | LONG  | $27648.98  | +2.2R      | 2023-10-05 
TR-10197 | 2023-10-03  | SHORT | $27345.00  | -1.0R      | 2023-10-04 
TR-10198 | 2023-09-27  | LONG  | $26766.70  | -1.0R      | 2023-09-27 
TR-10199 | 2023-09-21  | SHORT | $26747.30  | +2.2R      | 2023-09-21 
TR-10200 | 2023-09-18  | SHORT | $26462.63  | -1.0R      | 2023-09-18 
TR-10201 | 2023-09-18  | LONG  | $26663.12  | +2.2R      | 2023-09-18 
TR-10202 | 2023-09-07  | LONG  | $25931.18  | +2.2R      | 2023-09-07 
TR-10203 | 2023-08-31  | SHORT | $26329.07  | +2.2R      | 2023-08-31 
TR-10204 | 2023-08-28  | SHORT | $26012.98  | -1.0R      | 2023-08-28 
TR-10205 | 2023-08-27  | LONG  | $26122.15  | -1.0R      | 2023-08-27 
TR-10206 | 2023-08-23  | LONG  | $26396.00  | +2.2R      | 2023-08-23 
TR-10207 | 2023-08-14  | LONG  | $29534.00  | -1.0R      | 2023-08-14 
TR-10208 | 2023-08-10  | SHORT | $29431.15  | +2.2R      | 2023-08-14 
TR-10209 | 2023-08-02  | LONG  | $29822.03  | -1.0R      | 2023-08-02 
TR-10210 | 2023-07-31  | LONG  | $29451.99  | -1.0R      | 2023-07-31 
TR-10211 | 2023-07-30  | SHORT | $29278.00  | -1.0R      | 2023-07-30 
TR-10212 | 2023-07-30  | LONG  | $29391.81  | -1.0R      | 2023-07-30 
TR-10213 | 2023-07-26  | LONG  | $29466.00  | -1.0R      | 2023-07-26 
TR-10214 | 2023-07-13  | LONG  | $30571.99  | +2.2R      | 2023-07-13 
TR-10215 | 2023-07-10  | LONG  | $30529.00  | +2.2R      | 2023-07-10 
TR-10216 | 2023-07-09  | LONG  | $30349.47  | -1.0R      | 2023-07-09 
TR-10217 | 2023-07-06  | LONG  | $31231.64  | -1.0R      | 2023-07-06 
TR-10218 | 2023-07-06  | SHORT | $30373.47  | +2.2R      | 2023-07-07 
TR-10219 | 2023-06-29  | LONG  | $30623.93  | -1.0R      | 2023-06-29 
TR-10220 | 2023-06-27  | LONG  | $30729.10  | -1.0R      | 2023-06-27 
TR-10221 | 2023-06-26  | SHORT | $30172.74  | -1.0R      | 2023-06-26 
TR-10222 | 2023-06-14  | SHORT | $24934.21  | -1.0R      | 2023-06-14 
TR-10223 | 2023-06-05  | SHORT | $26922.71  | +2.2R      | 2023-06-05 
TR-10224 | 2023-06-04  | LONG  | $27215.89  | +2.2R      | 2023-06-04 
TR-10225 | 2023-05-31  | SHORT | $27088.15  | -1.0R      | 2023-05-31 
TR-10226 | 2023-05-26  | LONG  | $26750.21  | -1.0R      | 2023-05-27 
TR-10227 | 2023-05-24  | SHORT | $26712.55  | +2.2R      | 2023-05-24 
TR-10228 | 2023-05-23  | LONG  | $27128.42  | +2.2R      | 2023-05-23 
TR-10229 | 2023-05-20  | LONG  | $27063.03  | -1.0R      | 2023-05-20 
TR-10230 | 2023-05-18  | SHORT | $26617.62  | -1.0R      | 2023-05-18 
TR-10231 | 2023-05-16  | SHORT | $26982.79  | -1.0R      | 2023-05-17 
TR-10232 | 2023-05-06  | SHORT | $28701.53  | -1.0R      | 2023-05-06 
TR-10233 | 2023-05-03  | SHORT | $28215.86  | -1.0R      | 2023-05-03 
TR-10234 | 2023-05-01  | SHORT | $28549.41  | +2.2R      | 2023-05-01 
TR-10235 | 2023-04-25  | LONG  | $28262.89  | +2.2R      | 2023-04-26 
TR-10236 | 2023-04-19  | SHORT | $29200.57  | -1.0R      | 2023-04-19 
TR-10237 | 2023-04-18  | LONG  | $30184.86  | -1.0R      | 2023-04-18 
TR-10238 | 2023-04-09  | SHORT | $27880.13  | -1.0R      | 2023-04-09 
TR-10239 | 2023-04-09  | LONG  | $28437.19  | -1.0R      | 2023-04-10 
TR-10240 | 2023-04-08  | LONG  | $28027.67  | -1.0R      | 2023-04-08 
TR-10241 | 2023-04-08  | SHORT | $27935.11  | -1.0R      | 2023-04-09 
TR-10242 | 2023-04-02  | SHORT | $28124.81  | +2.2R      | 2023-04-02 
TR-10243 | 2023-03-31  | LONG  | $28521.78  | -1.0R      | 2023-04-02 
TR-10244 | 2023-03-29  | LONG  | $28052.30  | +2.2R      | 2023-03-29 
TR-10245 | 2023-03-27  | SHORT | $26903.62  | -1.0R      | 2023-03-27 
TR-10246 | 2023-03-26  | LONG  | $28149.99  | -1.0R      | 2023-03-26 
TR-10247 | 2023-03-24  | SHORT | $27584.82  | +2.2R      | 2023-03-24 
TR-10248 | 2023-03-23  | LONG  | $28297.16  | -1.0R      | 2023-03-23 
TR-10249 | 2023-03-12  | LONG  | $20785.52  | +2.2R      | 2023-03-12 
TR-10250 | 2023-02-14  | LONG  | $22247.39  | -1.0R      | 2023-02-14 
TR-10251 | 2023-02-12  | SHORT | $21794.52  | +2.2R      | 2023-02-13 
TR-10252 | 2023-02-08  | SHORT | $22893.03  | +2.2R      | 2023-02-09 
TR-10253 | 2023-02-03  | SHORT | $23307.99  | -1.0R      | 2023-02-04 
TR-10254 | 2023-02-01  | LONG  | $23573.11  | +2.2R      | 2023-02-02 
TR-10255 | 2023-01-25  | SHORT | $22490.64  | -1.0R      | 2023-01-25 
TR-10256 | 2023-01-25  | LONG  | $23592.55  | -1.0R      | 2023-01-25 
TR-10257 | 2023-01-20  | LONG  | $21079.66  | -1.0R      | 2023-01-20 
TR-10258 | 2023-01-06  | SHORT | $16731.02  | -1.0R      | 2023-01-06 
TR-10259 | 2023-01-06  | LONG  | $16850.45  | +2.2R      | 2023-01-06 
TR-10260 | 2023-01-01  | LONG  | $16604.51  | -1.0R      | 2023-01-02 
TR-10261 | 2022-12-27  | SHORT | $16799.78  | +2.2R      | 2022-12-27 
TR-10262 | 2022-12-26  | LONG  | $16889.69  | -1.0R      | 2022-12-26 
TR-10263 | 2022-12-22  | SHORT | $16675.03  | +2.2R      | 2022-12-22 
TR-10264 | 2022-12-15  | SHORT | $17398.61  | -1.0R      | 2022-12-16 
TR-10265 | 2022-12-04  | LONG  | $17007.70  | -1.0R      | 2022-12-04 
TR-10266 | 2022-12-03  | SHORT | $16901.27  | -1.0R      | 2022-12-04 
TR-10267 | 2022-11-28  | SHORT | $16446.79  | +2.2R      | 2022-11-28 
TR-10268 | 2022-11-26  | SHORT | $16425.29  | -1.0R      | 2022-11-27 
TR-10269 | 2022-11-23  | LONG  | $16512.44  | -1.0R      | 2022-11-28 
TR-10270 | 2022-11-18  | LONG  | $16950.74  | -1.0R      | 2022-11-18 
TR-10271 | 2022-11-16  | SHORT | $16484.78  | -1.0R      | 2022-11-16 
TR-10272 | 2022-11-15  | LONG  | $16844.63  | -1.0R      | 2022-11-16 
TR-10273 | 2022-11-07  | SHORT | $20913.82  | +2.2R      | 2022-11-07 
TR-10274 | 2022-11-04  | LONG  | $20611.56  | -1.0R      | 2022-11-04 
TR-10275 | 2022-10-31  | SHORT | $20542.43  | -1.0R      | 2022-10-31 
TR-10276 | 2022-10-28  | SHORT | $20080.01  | -1.0R      | 2022-10-28 
TR-10277 | 2022-10-28  | LONG  | $20702.73  | +2.2R      | 2022-10-29 
TR-10278 | 2022-10-16  | LONG  | $19302.08  | -1.0R      | 2022-10-17 
TR-10279 | 2022-10-03  | LONG  | $19547.00  | +2.2R      | 2022-10-04 
TR-10280 | 2022-09-26  | LONG  | $19136.64  | +2.2R      | 2022-09-27 
TR-10281 | 2022-09-25  | LONG  | $19087.88  | -1.0R      | 2022-09-25 
TR-10282 | 2022-09-23  | SHORT | $18641.04  | -1.0R      | 2022-09-23 
TR-10283 | 2022-09-21  | LONG  | $19636.01  | -1.0R      | 2022-09-21 
TR-10284 | 2022-09-18  | SHORT | $19814.63  | +2.2R      | 2022-09-18 
TR-10285 | 2022-09-13  | SHORT | $20829.77  | +2.2R      | 2022-09-13 
TR-10286 | 2022-09-06  | LONG  | $20016.57  | -1.0R      | 2022-09-06 
TR-10287 | 2022-09-06  | SHORT | $19102.32  | +2.2R      | 2022-09-06 
TR-10288 | 2022-08-30  | LONG  | $20256.25  | -1.0R      | 2022-08-30 
TR-10289 | 2022-08-30  | SHORT | $19616.65  | -1.0R      | 2022-08-30 
TR-10290 | 2022-08-23  | LONG  | $21474.67  | -1.0R      | 2022-08-24 
TR-10291 | 2022-08-15  | SHORT | $24172.18  | +2.2R      | 2022-08-17 
TR-10292 | 2022-08-12  | SHORT | $23829.49  | -1.0R      | 2022-08-12 
TR-10293 | 2022-08-12  | LONG  | $24124.64  | +2.2R      | 2022-08-13 
TR-10294 | 2022-08-10  | LONG  | $23997.10  | -1.0R      | 2022-08-10 
TR-10295 | 2022-08-09  | SHORT | $23098.85  | +2.2R      | 2022-08-10 
TR-10296 | 2022-08-03  | LONG  | $23341.12  | -1.0R      | 2022-08-03 
TR-10297 | 2022-07-27  | LONG  | $22554.45  | +2.2R      | 2022-07-27 
TR-10298 | 2022-07-21  | SHORT | $22558.20  | -1.0R      | 2022-07-21 
TR-10299 | 2022-07-21  | LONG  | $23120.65  | -1.0R      | 2022-07-22 
TR-10300 | 2022-07-14  | LONG  | $20390.50  | +2.2R      | 2022-07-14 
TR-10301 | 2022-07-04  | LONG  | $19806.49  | -1.0R      | 2022-07-04 
TR-10302 | 2022-06-27  | SHORT | $20737.81  | -1.0R      | 2022-06-27 
TR-10303 | 2022-06-23  | LONG  | $20563.48  | -1.0R      | 2022-06-23 
TR-10304 | 2022-06-23  | LONG  | $20910.06  | +2.2R      | 2022-06-24 
TR-10305 | 2022-06-22  | SHORT | $20428.56  | -1.0R      | 2022-06-22 
