Token,Entry,Exit,Return%,MaxDD%,Trades,Calmar,WinRate%
BTC,20,55,89.8979231515346,-80.2854129628627,421,1.119729223951533,33.0166270783848
BTC,20,80,435.34575441572514,-76.5862304251321,322,5.684386762465131,33.22981366459628
BTC,35,10,26.96461956916606,-54.48684236600172,695,0.49488313872251916,35.25179856115108
BTC,35,20,3.4738584997361253,-70.69019837461171,555,0.0491420109097297,35.85585585585586
BTC,35,35,366.9085814970374,-63.294041541812504,420,5.796889763385625,36.19047619047619
BTC,35,55,408.8019715558823,-67.90113768067175,344,6.020546717175976,35.174418604651166
BTC,35,80,741.6860184091453,-70.49326771698344,273,10.521373776952267,34.798534798534796
BTC,55,10,-12.917234492882981,-56.96480715102823,558,-0.22675815365504703,34.946236559139784
BTC,55,20,-3.1077917810897997,-69.38798839819793,452,-0.04478861331524797,34.51327433628318
BTC,55,35,230.50692631436664,-63.30205162624672,351,3.641381604428004,36.182336182336186
BTC,55,55,333.9070486087415,-73.20638346555842,293,4.561173941420498,35.153583617747444
BTC,55,80,835.6107533408394,-73.21259574742487,232,11.413483497069295,35.775862068965516
BTC,80,10,71.80262142661009,-47.109503479920924,447,1.5241642582205075,38.03131991051455
BTC,80,20,72.63213171112159,-64.50294195783695,363,1.1260282012965914,37.74104683195592
BTC,80,35,444.6111107093583,-54.27207928621714,284,8.192262330038847,38.028169014084504
BTC,80,55,595.3758171723265,-65.11773772820243,240,9.143066665758411,38.75
BTC,80,80,1112.6488835091257,-65.22402271311303,195,17.058881639409094,38.46153846153847
BTC,110,10,63.02657687059647,-38.25457440892404,374,1.647556608442979,38.770053475935825
BTC,110,20,54.23364642769366,-53.81037562781047,307,1.0078659699908215,38.762214983713356
BTC,110,35,306.57767604232623,-47.29141844887785,244,6.482733783376312,38.52459016393443
BTC,110,55,363.6007818605381,-60.38461358664791,210,6.021414401183427,35.714285714285715
BTC,110,80,915.4586637255761,-60.247471177031834,171,15.194972433541356,36.25730994152047
ETH,20,10,43.310783288551974,-74.15605280864473,964,0.5840491996022613,34.33609958506224
