=== SMA OPTIMIZATION (Ranked by Calmar) ===

| Token   |   Fast |   Slow |   Return% |   MaxDD% |   Trades |   Calmar |
| ETH     |     80 |    100 |    349.04 |   -64.83 |      500 |     5.38 |
| ETH     |     10 |    150 |    821    |   -63.28 |      462 |    12.97 |
| ETH     |     20 |    150 |    546.35 |   -59.89 |      355 |     9.12 |
| ETH     |     30 |    150 |    894.2  |   -57.99 |      315 |    15.42 |
| ETH     |     40 |    150 |    444.87 |   -61.51 |      283 |     7.23 |
| ETH     |     50 |    150 |    461.56 |   -74.45 |      275 |     6.2  |
| ETH     |     80 |    150 |    736.63 |   -65.51 |      255 |    11.24 |
| ETH     |     10 |    200 |   1274.88 |   -62.95 |      399 |    20.25 |
| ETH     |     20 |    200 |    753.45 |   -56.08 |      309 |    13.44 |
| ETH     |     30 |    200 |   1593.14 |   -61.9  |      261 |    25.74 |
| ETH     |     40 |    200 |   1613.22 |   -56.53 |      230 |    28.54 |
| ETH     |     50 |    200 |    756.34 |   -62.13 |      217 |    12.17 |
| ETH     |     80 |    200 |    627.04 |   -66.61 |      198 |     9.41 |
| ETH     |     10 |    300 |   4780.58 |   -60.09 |      285 |    79.56 |
| ETH     |     20 |    300 |   2163.27 |   -64.64 |      220 |    33.47 |
| ETH     |     30 |    300 |   2086.51 |   -63.89 |      184 |    32.66 |
| ETH     |     40 |    300 |   2046.04 |   -63.19 |      169 |    32.38 |
| ETH     |     50 |    300 |   1275.45 |   -66.81 |      156 |    19.09 |
| ETH     |     80 |    300 |    688.35 |   -71.37 |      145 |     9.64 |
| SOL     |     10 |     50 |   1299.92 |   -74.57 |      636 |    17.43 |
| SOL     |     20 |     50 |    309.38 |   -78.35 |      546 |     3.95 |
| SOL     |     30 |     50 |    254.77 |   -82.36 |      556 |     3.09 |
| SOL     |     40 |     50 |    242.99 |   -78.97 |      674 |     3.08 |
| SOL     |     10 |     80 |   3880.75 |   -64.64 |      457 |    60.04 |
| SOL     |     20 |     80 |   3580.24 |   -67.38 |      367 |    53.14 |
| SOL     |     30 |     80 |    425.82 |   -75.58 |      339 |     5.63 |
| SOL     |     40 |     80 |    722.82 |   -75    |      323 |     9.64 |
| SOL     |     50 |     80 |   3454.48 |   -76.06 |      340 |    45.42 |
| SOL     |     10 |    100 |   4556.24 |   -57.64 |      402 |    79.05 |
| SOL     |     20 |    100 |   2170.11 |   -69.97 |      318 |    31.02 |
| SOL     |     30 |    100 |   1713.92 |   -75.08 |      287 |    22.83 |
| SOL     |     40 |    100 |   3013.41 |   -66.58 |      258 |    45.26 |
| SOL     |     50 |    100 |   5037.4  |   -70.71 |      256 |    71.24 |
| SOL     |     80 |    100 |   2853.64 |   -64.25 |      323 |    44.41 |
| SOL     |     10 |    150 |   4757.01 |   -69    |      328 |    68.95 |
| SOL     |     20 |    150 |   4964.32 |   -68.41 |      248 |    72.57 |
| SOL     |     30 |    150 |   3466.19 |   -71.56 |      212 |    48.44 |
| SOL     |     40 |    150 |  13463.9  |   -66.95 |      185 |   201.09 |
| SOL     |     50 |    150 |   8650.15 |   -67.03 |      173 |   129.05 |
| SOL     |     80 |    150 |   7245.75 |   -69.87 |      171 |   103.7  |
| SOL     |     10 |    200 |   6618.28 |   -70.89 |      256 |    93.37 |
| SOL     |     20 |    200 |   4629.35 |   -67.29 |      202 |    68.8  |
| SOL     |     30 |    200 |   6180.98 |   -60.51 |      170 |   102.15 |
| SOL     |     40 |    200 |   6646.38 |   -67.08 |      149 |    99.08 |
| SOL     |     50 |    200 |  10671.1  |   -67.47 |      135 |   158.16 |
| SOL     |     80 |    200 |   3941.15 |   -74.42 |      125 |    52.96 |
| SOL     |     10 |    300 |  18769.7  |   -67.55 |      202 |   277.86 |
| SOL     |     20 |    300 |   8871.29 |   -71.94 |      146 |   123.32 |
| SOL     |     30 |    300 |  11048    |   -65.89 |      126 |   167.66 |
| SOL     |     40 |    300 |   7619.47 |   -72.61 |      115 |   104.93 |
| SOL     |     50 |    300 |  13353.1  |   -69.98 |      102 |   190.81 |
| SOL     |     80 |    300 |   3417.22 |   -80.57 |       90 |    42.42 |
