Token,Config,RSI_Thresh,Exit_SMA,Filter,Return%,MaxDD%,Trades,WinRate%
SOL,RSI2/98_SMA20_NoFilter,2,20,NoFilter,-100.0,-100.0,5697,42.72
SOL,RSI2/98_SMA20_Trend,2,20,Trend,-99.39,-99.45,2392,41.22
SOL,RSI5/95_SMA5_NoFilter,5,5,NoFilter,-100.0,-100.0,10498,41.46
SOL,RSI5/95_SMA5_Trend,5,5,Trend,-100.0,-100.0,4793,40.06
SOL,RSI5/95_SMA10_NoFilter,5,10,NoFilter,-100.0,-100.0,7941,42.94
SOL,RSI5/95_SMA10_Trend,5,10,Trend,-99.93,-99.93,3549,42.27
SOL,RSI5/95_SMA20_NoFilter,5,20,NoFilter,-100.0,-100.0,5778,42.96
SOL,RSI5/95_SMA20_Trend,5,20,Trend,-99.33,-99.36,2439,41.53
SOL,RSI10/90_SMA5_NoFilter,10,5,NoFilter,-100.0,-100.0,10900,41.51
SOL,RSI10/90_SMA5_Trend,10,5,Trend,-100.0,-100.0,4976,40.09
SOL,RSI10/90_SMA10_NoFilter,10,10,NoFilter,-100.0,-100.0,8183,42.94
SOL,RSI10/90_SMA10_Trend,10,10,Trend,-99.96,-99.96,3663,42.07
SOL,RSI10/90_SMA20_NoFilter,10,20,NoFilter,-100.0,-100.0,5943,42.71
SOL,RSI10/90_SMA20_Trend,10,20,Trend,-99.5,-99.54,2517,41.52
